metric,value
total_raw_observations,185.0
complete_observations,78.0
incomplete_observations,107.0
unique_markets_total,100.0
unique_markets_complete,19.0
unique_timestamps_total,12.0
average_gross_edge,-0.001128205128204962
median_gross_edge,-0.0009999999999998
std_gross_edge,0.000336481965668528
min_gross_edge,-0.002
max_gross_edge,-0.0009999999999998
positive_edge_observations,0.0
zero_edge_observations,0.0
negative_edge_observations,78.0
positive_edge_rate,0.0
average_yes_spread,0.0011282051282051281
average_no_spread,0.0011282051282051292
average_combined_ask,1.0011282051282053
median_combined_ask,1.001
minimum_combined_ask,1.001
maximum_combined_ask,1.002
average_edge_bps,-11.282051282049611
minimum_edge_bps,-20.0
maximum_edge_bps,-9.999999999998002
gross_edge_quantile_0.01,-0.002
gross_edge_quantile_0.05,-0.002
gross_edge_quantile_0.25,-0.0009999999999998
gross_edge_quantile_0.5,-0.0009999999999998
gross_edge_quantile_0.75,-0.0009999999999998
gross_edge_quantile_0.95,-0.0009999999999998
gross_edge_quantile_0.99,-0.0009999999999998
