metric,value
total_observations,2898.0
complete_observations,2896.0
unique_markets,69.0
unique_timestamps,2896.0
average_gross_edge,-0.0013131906077346555
maximum_gross_edge,-0.0009999999999998
average_net_edge,-0.003313190607734656
maximum_net_edge,-0.0029999999999998
qualified_observations,0.0
near_arbitrage_observations,0.0
price_movement_observations,3.0
edge_movement_observations,4.0
watchlist_markets,3.0
fee_rate,0.001
slippage_rate,0.001
minimum_net_edge,0.002
near_gross_edge_threshold,0.0
price_move_threshold,0.005
edge_move_threshold,0.003
