metric,value
total_observations,2898.0
complete_observations,2896.0
unique_markets,69.0
unique_timestamps,2896.0
markets_with_price_movement,7.0
positive_gross_observations,0.0
zero_gross_observations,0.0
negative_gross_observations,2896.0
positive_gross_rate,0.0
minimum_gross_edge,-0.01
maximum_gross_edge,-0.0009999999999998
average_gross_edge,-0.0013131906077346555
gross_edge_std,0.001049868174763674
minimum_combined_ask,1.001
maximum_combined_ask,1.01
average_combined_ask,1.0013131906077344
observations_combined_ask_below_one,0.0
observations_combined_ask_at_one,0.0
observations_combined_ask_above_one,2896.0
below_one_rate,0.0
largest_yes_price_move,0.013000000000000005
largest_no_price_move,0.010000000000000009
largest_combined_ask_move,0.009000000000000119
largest_gross_edge_move,0.0090000000000002
average_absolute_yes_change,1.0258224266006369e-05
average_absolute_no_change,1.6271666077113563e-05
average_absolute_edge_change,1.308807923593937e-05
