timestamp,question,yes_token,no_token,yes_bid,yes_ask,no_bid,no_ask,combined_yes_no_ask,gross_edge,fee_cost,slippage_cost,total_cost,net_edge,qualified_opportunity,status,error
2026-09-21T17:32:37.435347+00:00,Xi Jinping out before 2027?,32338220190071351435772801779725302244575775216413325951443816017994629993401,25659310674993675562345759665114759892400026242514633218387667107987341231962,0.038,0.039,0.961,0.962,1.001,-0.0009999999999998899,0.001,0.001,0.002,-0.00299999999999989,False,NO_OPPORTUNITY,
2026-09-21T17:32:37.574556+00:00,Will Gavin Newsom win the 2028 Democratic presidential nomination?,54533043819946592547517511176940999955633860128497669742211153063842200957669,87854174148074652060467921081181402357467303721471806610111179101805869578687,0.135,0.136,0.864,0.865,1.001,-0.0009999999999998899,0.001,0.001,0.002,-0.00299999999999989,False,NO_OPPORTUNITY,
2026-09-21T17:32:37.761600+00:00,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,107064985435494333113391038470401719113272800530429703182710416066774068907304,65176072261324737856085688071627118509549293922582857186996392180609764586527,0.182,0.184,0.816,0.818,1.002,-0.0020000000000000018,0.001,0.001,0.002,-0.004000000000000002,False,NO_OPPORTUNITY,
2026-09-21T17:32:37.894555+00:00,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,91031279171981959197361710127213577102576826515163085396576756946418341946256,18494065527924073750217237765784380365430319396356251245973222791140100738948,0.05,0.053,0.947,0.95,1.003,-0.0029999999999998916,0.001,0.001,0.002,-0.004999999999999892,False,NO_OPPORTUNITY,
2026-09-21T17:32:38.031272+00:00,Will Josh Shapiro win the 2028 Democratic presidential nomination?,71169839497420596285841847514123589847893415750912355173877524195175834054354,55290827599553280245963175724940496753557722439999671239772487781170052583987,0.058,0.064,0.936,0.942,1.006,-0.006000000000000005,0.001,0.001,0.002,-0.008000000000000005,False,NO_OPPORTUNITY,
2026-09-21T17:32:38.158487+00:00,Will Wes Moore win the 2028 Democratic presidential nomination?,90227223115596293448966158151606153337847900483048338623540402385929720677904,105134691322323565615831879054043168027913414000042547943201361115853277749482,0.017,0.018,0.982,0.983,1.001,-0.0009999999999998899,0.001,0.001,0.002,-0.00299999999999989,False,NO_OPPORTUNITY,
2026-09-21T17:32:38.352899+00:00,Will Stephen A. Smith win the 2028 Democratic presidential nomination?,60590045489347122735554346200880179420435533609307820342798544098823516727807,76005700027045000587004110133818166617024719626220722682005164003117993034812,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001,0.001,0.002,-0.00299999999999989,False,NO_OPPORTUNITY,
2026-09-21T17:32:38.510615+00:00,Will Kamala Harris win the 2028 Democratic presidential nomination?,38171024903091354977195167437673496224420673639143973968032407064172828043588,26930844951471612827925270830087046333229637930899178134435055616497220846773,0.079,0.081,0.919,0.921,1.002,-0.0020000000000000018,0.001,0.001,0.002,-0.004000000000000002,False,NO_OPPORTUNITY,
2026-09-21T17:32:38.653958+00:00,Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,57761428076807364758801249497410455358987881775226117256631754592198558850468,64300336035644500626313522990854070672468621241744347587785777226296613235598,0.005,0.007,0.993,0.995,1.002,-0.0020000000000000018,0.001,0.001,0.002,-0.004000000000000002,False,NO_OPPORTUNITY,
2026-09-21T17:32:38.861897+00:00,Will Andy Beshear win the 2028 Democratic presidential nomination?,26468656392978559668331516709623917078428425933265692717836103090220693717685,26335362363448644358593284423242327477307616743233875606762153873424287882825,0.025,0.026,0.974,0.975,1.001,-0.0009999999999998899,0.001,0.001,0.002,-0.00299999999999989,False,NO_OPPORTUNITY,
2026-09-21T17:32:38.995256+00:00,Will Jon Ossoff win the 2028 Democratic presidential nomination?,70071592420137476676935286377781779672157004436137616627487590484756055232944,107829893465244243112531790315844862173967342141753896250561816305880797209350,0.171,0.172,0.828,0.829,1.001,-0.0009999999999998899,0.001,0.001,0.002,-0.00299999999999989,False,NO_OPPORTUNITY,
2026-09-21T17:32:39.179015+00:00,Will Mark Cuban win the 2028 Democratic presidential nomination?,58378309871183461257693288827678410871907006920578755035402846056315798427503,55392527126713018429304496836617506663024188480522297953714346140749923557790,0.003,0.004,0.996,0.997,1.001,-0.0009999999999998899,0.001,0.001,0.002,-0.00299999999999989,False,NO_OPPORTUNITY,
2026-09-21T17:32:39.377716+00:00,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,103988345069738240821107916249290759786442703283901164377120414690701074137717,108650988487983371520585351370999192979899647080710024226285750050382033453124,0.012,0.013,0.987,0.988,1.001,-0.0009999999999998899,0.001,0.001,0.002,-0.00299999999999989,False,NO_OPPORTUNITY,
